Genename,baseMean,log2FC,lfcSE,stat,p_value,padj
LNCPRESS1,3.735729064,1.463716733,0.95070662,1.539609279,0.123655622,NA
FNDC3CP,0.522166643,1.460953108,0.817451317,1.787205033,0.073904356,NA
ACSM5,106.5113035,1.460194017,0.523370418,2.789981947,0.005271098,0.265887973
NAALAD2,76.68722293,1.459587408,0.380560904,3.835358267,0.000125381,0.053597362
MIR3659HG,6.900287372,1.457595176,0.766166214,1.902452951,0.057111964,0.590374258
RNU5A-8P,0.274057214,1.45758868,2.026970879,0.719097001,0.472081155,NA
GPC3,1580.344375,1.453288338,0.637020671,2.281383329,0.022525774,0.442612142
MYOC,15.81989498,1.452111815,1.029958671,1.409873868,0.15857693,0.761299432
GOLGA2P11,0.277639239,1.447237376,1.545458629,0.936445239,0.349043995,NA
LEP,388.6751773,1.445567399,1.016088349,1.422678846,0.154829276,0.758030275
CYP4A11,11.84089412,1.44546812,0.828816484,1.744014685,0.081156529,0.647067422
LINC01448,0.249766261,1.445402689,2.007458338,0.720016282,0.471514971,NA
SCGB2A2,34551.38928,1.44454093,1.191382666,1.212491143,0.225324431,0.814667653
LINC00906,0.653469486,1.444176724,1.013127504,1.42546394,0.154023137,NA
LINC02291,0.143599718,1.440907755,2.37629723,0.606366803,0.544271207,NA
TESC-AS1,0.606508251,1.440338658,0.966255205,1.490639998,0.136056037,NA
PROX1,182.0636096,1.438991431,0.618942178,2.324920616,0.020076205,0.425659903
RNA5SP111,1.819116751,1.43559233,0.656421454,2.186997884,0.028742678,NA
PPP1R1A,757.6104762,1.43557538,0.724399633,1.981745041,0.047507783,0.561063954
TESC,218.3765586,1.43478768,0.598424113,2.397610071,0.016502422,0.391090163
AQP7P2,1.816000164,1.434315119,1.219380671,1.176265257,0.239488895,NA
SAMM50P1,0.209935407,1.434183193,1.520271044,0.943373353,0.345489968,NA
C3orf85,0.16444327,1.433960146,4.382312838,0.327215377,0.743504992,NA
C14orf180,63.34593262,1.4330257,1.044158274,1.372421917,0.169932131,0.770888262
NTAN1P3,0.548274354,1.431403349,1.009581412,1.417818644,0.156243719,NA
XRRA1,1119.089248,1.430641873,0.526445176,2.717551492,0.006576692,0.292551428
