"","Coef_ridge","s0","tcross"
"FAM135B",NA,-0.0162108178833627,1
"EBF4",NA,-0.00523870146092807,1
"DLL3",NA,-0.00202487159020113,1
"DLL1",NA,0.0330176234455315,1
"CXCL12",NA,0.0055784095173872,1
"CENPA",NA,-0.00331505555610118,1
"CDK9",NA,0.00189902158854266,1
"BRAF",NA,-0.0227844610330393,1
"BCL2L11",NA,-0.0107918540728856,1
"GSK3B",NA,-0.0162639118813833,1
"DLX6",NA,-0.0117861337666393,1
"GAD1",NA,-0.0293339487887529,1
"LHX9",NA,-0.0449704305897037,1
"WNT5A",NA,-0.0111243810784439,1
"DCK",NA,-0.0241157241758597,1
"TNFAIP8",NA,-0.00693881272386901,1
"MET",NA,-0.024615360885663,1
"NUSAP1",NA,0.00477447543592641,1
"PRKDC",NA,0.00405653671666365,1
"RFC4",NA,0.0189280435361514,1
"RRM2",NA,-0.00165065090650481,1
"SET",NA,0.000501729660439722,1
"WNT9A",NA,0.0103866410709499,1
"PRC1",NA,0.00197560667677504,1
"CCNE2",NA,0.0009641865617254,1
"IGF1R",NA,-0.0365211654655494,1
"CDCA7",NA,0.0153869312371395,1
"ZACN",NA,-0.0226272979731311,1
"TOP2A",NA,-0.0208216406010473,1
"SLC2A3",NA,-0.0151176186032638,1
"SDCBP",NA,0.0102022985429655,1
"SCG3",NA,-0.00473607679730732,1
"RUNDC1",NA,-0.0192423149477054,1
"RASSF7",NA,-0.00478763326056573,1
"PDPN",NA,0.00652506828992064,1
"OXCT1",NA,-0.00490051063181845,1
"NOTCH1",NA,0.0177736321863116,1
"LIN9",NA,0.0106276425718057,1
"KLK3",NA,-0.00521544352663708,1
"HIST3H3",NA,-0.0129185135983766,1
"GMPS",NA,0.0053597432171988,1
"GLRA3",NA,-0.0229712728152128,1
"GFPT1",NA,-0.000877800262871051,1
"FZD9",NA,-5.85923543505256e-05,1
"FZD10",NA,-0.00518631072633283,1
"DOCK4",NA,0.00798187276017722,1
"DLL4",NA,0.0264296271640851,1
"CEL",NA,0.0721917625095654,1
"CDK4",NA,0.00794904510721745,1
"CD151",NA,0.0262543959977019,1
"AKT2",NA,-0.0142663340183661,1
"CCNA1",NA,-0.0338055076506207,1
"KIF20A",NA,0.0040560337767378,1
"SPAG5",NA,-0.0102126224534006,1
"UBE2C",NA,0.0203327449703821,1
"TTC24",NA,-0.0185449933834709,1
"ASPM",NA,-0.00616621061948044,1
"POLD1",NA,0.00959221644629853,1
"SHC1",NA,-0.00959410765368152,1
"DIAPH3",NA,0.0169800357010985,1
"MT3",NA,-0.0508385152540034,1
"MKI67",NA,0.00276657320562651,1
"GADD45A",NA,0.00205516702401189,1
"G6PD",NA,0.0261939460627654,1
"FGF7",NA,0.0353433754633131,1
"COL9A3",NA,-0.00562697670109292,1
"CTSD",NA,-0.0256370849506783,1
"PIK3R3",NA,-0.0169716657570548,1
"LCN2",NA,0.0070075965162576,1
"PIK3CD",NA,-0.00956312153464957,1
"FGFBP1",NA,0.00228220455597213,1
"DVL1",NA,0.00303714123690712,1
"WNT2B",NA,0.0146340141529678,1
"TNFSF11",NA,0.0170845872717459,1
"SLC2A1",NA,-0.00780288218075121,1
"SEC62",NA,-0.014048250332726,1
"OGDHL",NA,0.00330489737537596,1
"MTDH",NA,0.018887649710925,1
"KRAS",NA,0.00771137558032186,1
"KIF18A",NA,-0.0152902427185347,1
"IFNG",NA,-0.0348797554161624,1
"GRB2",NA,0.027185974875096,1
"FZD7",NA,-0.0208790459387057,1
"FZD5",NA,-0.0316878150803226,1
"FLT1",NA,0.00552741813083863,1
"FGF22",NA,0.00551614941789463,1
"FGF2",NA,0.00112252856764935,1
"CSNK1A1",NA,0.0158872259843404,1
"CALY",NA,-0.0230832504021394,1
"AXIN1",NA,0.00797904583435867,1
"ARPP21",NA,-0.0136495972650458,1
"AP2B1",NA,0.009060961344411,1
"AKT1",NA,0.00204742438804599,1
"RBM3",NA,-0.0228778357920124,1
"CTHRC1",NA,0.0182871372531252,1
"MUCL1",NA,0.00954962230840562,1
"ECT2",NA,-0.00429682601766758,1
"FGFR1",NA,-0.02038183459176,1
"NCCRP1",NA,0.0293944834362655,1
"KRT6B",NA,0.00203186954940873,1
"CXCL5",NA,-0.0174797386689424,1
