"","Coef_lasso","s0","tcross"
"PITRM1",NA,0.0113617693036565,1
"FGF4",NA,0,1
"DKK2",NA,0.0555616381609361,1
"ZHX3",NA,0,1
"NTNG1",NA,0,1
"FGF20",NA,0,1
"OLFM3",NA,-0.00390122993677313,1
"LHFPL4",NA,0,1
"BEX1",NA,0,1
"CDH3",NA,0,1
"SERF1A",NA,0,1
"PLA2G2D",NA,0,1
"ADRB1",NA,-0.00403230269193603,1
"PIK3R2",NA,0,1
"S100B",NA,0,1
"ELANE",NA,0,1
"UGT1A7",NA,0,1
"CLDN10",NA,0,1
"TMEM190",NA,0,1
"LPO",NA,0,1
"FAP",NA,0,1
"PROM1",NA,0,1
"VTCN1",NA,0,1
"FZD6",NA,0,1
"MMP20",NA,0,1
"FGF23",NA,0,1
"FGF19",NA,-0.0289006630813949,1
"CPB1",NA,0,1
"PALM2",NA,0,1
"FZD1",NA,0,1
"GJB6",NA,0,1
"ZFP42",NA,0,1
"SYCE1",NA,0,1
"PAGE2B",NA,0,1
"POLK",NA,0,1
"TYRP1",NA,-0.0360370963338731,1
"C20orf85",NA,0,1
"CSNK1A1L",NA,0.061648481032788,1
"CD24",NA,0,1
"SFTPB",NA,-0.0159492423483348,1
"CYP2A6",NA,0,1
